Date,Time,Open,High,Low,Close,Volume
20030505,00:00:00,1.60294,1.60388,1.60216,1.60287,10386120000
20030505,04:00:00,1.60285,1.60362,1.60148,1.60265,10853970000
20030505,08:00:00,1.60260,1.60648,1.60162,1.60402,13928846990
20030505,12:00:00,1.60409,1.60701,1.60310,1.60580,13024750000
20030505,16:00:00,1.60583,1.60751,1.60427,1.60628,75820686990
20030505,20:00:00,1.60640,1.60712,1.60462,1.60625,12177150000
20030506,00:00:00,1.60633,1.60754,1.60514,1.60589,10066500000
20030506,04:00:00,1.60597,1.60757,1.60522,1.60658,10517000000
20030506,08:00:00,1.60674,1.61133,1.60629,1.60901,14067106990
20030506,12:00:00,1.60889,1.61486,1.60852,1.61411,12873700000
20030506,16:00:00,1.61438,1.61860,1.61063,1.61607,74436080000
20030506,20:00:00,1.61611,1.61737,1.61275,1.61515,12165990000
20030507,00:00:00,1.61511,1.61511,1.61184,1.61234,9576050000
20030507,04:00:00,1.61244,1.61544,1.61106,1.61343,10194896990
20030507,08:00:00,1.61303,1.61388,1.60638,1.60744,14549870000
20030507,12:00:00,1.60687,1.60842,1.59123,1.59128,12390350000
20030507,16:00:00,1.59115,1.59859,1.59017,1.59695,75847434950
20030507,20:00:00,1.59695,1.59730,1.59326,1.59402,12182320000
20030508,00:00:00,1.59403,1.59752,1.59396,1.59693,9944050000
20030508,04:00:00,1.59706,1.59873,1.59430,1.59494,10973520000
20030508,08:00:00,1.59436,1.60251,1.59200,1.59913,13805820000
20030508,12:00:00,1.59946,1.60773,1.59919,1.59959,13086796990
20030508,16:00:00,1.59971,1.60532,1.59681,1.59951,73707680000
20030508,20:00:00,1.59975,1.60269,1.59940,1.60204,12369190000
20030509,00:00:00,1.60213,1.60673,1.60019,1.60571,9720620000
20030509,04:00:00,1.60573,1.60664,1.60066,1.60487,10741220000
20030509,08:00:00,1.60469,1.60934,1.60122,1.60274,14559970000
20030509,12:00:00,1.60288,1.60736,1.60092,1.60228,12945016990
20030509,16:00:00,1.60179,1.60504,1.60054,1.60377,75409986990
