DateTime,Open,High,Low,Close,Volume
2024-01-01,1.27184,1.27347,1.27155,1.27274,3278480000
2024-01-02,1.27275,1.27596,1.26105,1.2622,133476090000
2024-01-03,1.26221,1.26761,1.26156,1.26727,149834310000
2024-01-04,1.26727,1.27296,1.26565,1.26807,126701080000
2024-01-05,1.26807,1.27707,1.26106,1.27173,158997240000
2024-01-07,1.27018,1.27192,1.27018,1.27169,2938040000
2024-01-08,1.27169,1.27668,1.26729,1.27411,95953140000
2024-01-09,1.27411,1.27647,1.2689,1.27102,97271700000
2024-01-10,1.27104,1.27448,1.26859,1.27442,92893970000
2024-01-11,1.27441,1.27849,1.26898,1.27782,172938390000
2024-01-12,1.27783,1.27854,1.27192,1.27473,136934150000
2024-01-14,1.27373,1.27508,1.27347,1.2735,4764920000
2024-01-15,1.27352,1.27649,1.27127,1.27151,106659190000
2024-01-16,1.27152,1.27164,1.2619,1.26376,155860910000
2024-01-17,1.26376,1.26958,1.25963,1.2677,152485120000
2024-01-18,1.26769,1.27118,1.26478,1.27109,127305860000
2024-01-19,1.27109,1.27143,1.26608,1.2702,107651490000
2024-01-21,1.26789,1.27083,1.26789,1.26992,6317740000
2024-01-22,1.26991,1.27325,1.26865,1.27057,100626090000
2024-01-23,1.27055,1.27467,1.26488,1.26907,121462460000
2024-01-24,1.26908,1.27745,1.26852,1.27173,120422610000
2024-01-25,1.27175,1.27424,1.26813,1.27057,122845180000
2024-01-26,1.27058,1.27582,1.26751,1.27025,100759690000
2024-01-28,1.26959,1.27037,1.26897,1.26962,6781690000
2024-01-29,1.26962,1.27184,1.26617,1.27118,89965280000
2024-01-30,1.27119,1.27207,1.26399,1.26943,112902930000
2024-01-31,1.26943,1.27505,1.26576,1.26794,170493080000
2024-02-01,1.26792,1.27554,1.26249,1.27457,152467710000
2024-02-02,1.27456,1.27721,1.26136,1.26284,124319430000
2024-02-04,1.26201,1.26366,1.26106,1.26211,7600460000
2024-02-05,1.26208,1.26292,1.25181,1.25333,107051270000
2024-02-06,1.25334,1.26054,1.2533,1.26033,103843710000
2024-02-07,1.26034,1.26416,1.25963,1.26261,103272730000
2024-02-08,1.26258,1.26383,1.25714,1.26201,93567350000
2024-02-09,1.262,1.26429,1.25987,1.26247,79997130000
2024-02-11,1.26206,1.2637,1.26206,1.26365,5374240000
2024-02-12,1.26363,1.26544,1.26058,1.26262,76322760000
2024-02-13,1.26262,1.26875,1.25727,1.25898,105806010000
2024-02-14,1.25897,1.26109,1.25352,1.25671,111876250000
2024-02-15,1.2567,1.26049,1.2541,1.25977,96421200000
2024-02-16,1.25979,1.26241,1.25504,1.25978,98400470000
2024-02-18,1.25987,1.26109,1.25974,1.26104,6835500000
2024-02-19,1.26106,1.26295,1.2583,1.25874,67764470000
2024-02-20,1.25873,1.26682,1.2579,1.26244,95230510000
2024-02-21,1.26244,1.26416,1.26023,1.26377,94715260000
2024-02-22,1.26379,1.27093,1.26112,1.26615,99601270000
2024-02-23,1.26616,1.2701,1.26479,1.26683,70723620000
2024-02-25,1.26727,1.26783,1.26685,1.267,2438750000
2024-02-26,1.26696,1.26993,1.26563,1.26834,56513680000
2024-02-27,1.26838,1.26965,1.26601,1.26796,69025340000
2024-02-28,1.26798,1.26838,1.26211,1.26611,73096570000
2024-02-29,1.26611,1.26813,1.26119,1.26266,84039310000
2024-03-01,1.26266,1.26636,1.25995,1.2653,80507830000
2024-03-03,1.26465,1.26621,1.26465,1.26601,3716100000
2024-03-04,1.26601,1.27062,1.26555,1.2689,58444510000
2024-03-05,1.26894,1.27347,1.26711,1.27039,68359170000
2024-03-06,1.27042,1.27613,1.26899,1.27357,69491320000
2024-03-07,1.27357,1.28132,1.27228,1.2813,75077400000
2024-03-08,1.2813,1.28934,1.28008,1.28548,84772970000
2024-03-10,1.28544,1.28607,1.28476,1.28552,3278160000
2024-03-11,1.28552,1.28618,1.27949,1.28177,67741000000
2024-03-12,1.28177,1.28231,1.27459,1.27947,99274910000
2024-03-13,1.27946,1.28111,1.27741,1.28008,74340500000
2024-03-14,1.28009,1.28227,1.27303,1.27448,88855120000
2024-03-15,1.27447,1.27585,1.27248,1.27313,72961600000
