Trade Number,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit
175,78278727,2024-04-15 17:15,sell,0.5,gbpusdc,1.24585,0.0,1.2456,2024-04-15 17:21,1.24558,-2.5,0.0,0.0,13.5
176,78278727,2024-04-15 17:15,sell,0.5,gbpusdc,1.24585,0.0,1.2456,2024-04-15 17:21,1.24558,-2.5,0.0,0.0,13.5
177,78278867,2024-04-15 17:30,sell,0.5,gbpusdc,1.24515,0.0,1.2449,2024-04-15 17:45,1.24488,-2.5,0.0,0.0,13.5
178,78278867,2024-04-15 17:30,sell,0.5,gbpusdc,1.24515,0.0,1.2449,2024-04-15 17:45,1.24488,-2.5,0.0,0.0,13.5
179,78279067,2024-04-15 18:00,sell,0.5,gbpusdc,1.24502,0.0,1.24477,2024-04-15 18:04,1.24476,-2.5,0.0,0.0,13.0
180,78279067,2024-04-15 18:00,sell,0.5,gbpusdc,1.24502,0.0,1.24477,2024-04-15 18:04,1.24476,-2.5,0.0,0.0,13.0
181,78279152,2024-04-15 18:15,sell,0.5,gbpusdc,1.24517,0.0,1.24492,2024-04-15 20:52,1.24403,-2.5,0.0,0.0,57.0
182,78279152,2024-04-15 18:15,sell,0.5,gbpusdc,1.24517,0.0,1.24492,2024-04-15 20:52,1.24403,-2.5,0.0,0.0,57.0
183,78282034,2024-04-16 05:00,buy,0.5,gbpusdc,1.24344,0.0,1.24369,2024-04-16 08:24,1.2437,-2.5,0.0,0.0,13.0
184,78282034,2024-04-16 05:00,buy,0.5,gbpusdc,1.24344,0.0,1.24369,2024-04-16 08:24,1.2437,-2.5,0.0,0.0,13.0
185,78282286,2024-04-16 08:30,buy,0.5,gbpusdc,1.24386,0.0,1.24411,2024-04-16 09:00,1.24444,-2.5,0.0,0.0,29.0
186,78282286,2024-04-16 08:30,buy,0.5,gbpusdc,1.24386,0.0,1.24411,2024-04-16 09:00,1.24444,-2.5,0.0,0.0,29.0
187,78282533,2024-04-16 09:15,buy,0.5,gbpusdc,1.24211,0.0,1.24236,2024-04-16 09:40,1.24236,-2.5,0.0,0.0,12.5
188,78282533,2024-04-16 09:15,buy,0.5,gbpusdc,1.24211,0.0,1.24236,2024-04-16 09:40,1.24236,-2.5,0.0,0.0,12.5
189,78284606,2024-04-16 09:45,buy,0.5,gbpusdc,1.24244,0.0,1.24269,2024-04-16 09:50,1.2427,-2.5,0.0,0.0,13.0
190,78284606,2024-04-16 09:45,buy,0.5,gbpusdc,1.24244,0.0,1.24269,2024-04-16 09:50,1.2427,-2.5,0.0,0.0,13.0
191,78285502,2024-04-16 10:00,buy,0.5,gbpusdc,1.24316,0.0,1.24341,2024-04-16 10:00,1.24341,-2.5,0.0,0.0,12.5
192,78285502,2024-04-16 10:00,buy,0.5,gbpusdc,1.24316,0.0,1.24341,2024-04-16 10:00,1.24341,-2.5,0.0,0.0,12.5
193,78286345,2024-04-16 10:15,buy,0.5,gbpusdc,1.24352,0.0,1.24377,2024-04-16 10:18,1.24378,-2.5,0.0,0.0,13.0
194,78286345,2024-04-16 10:15,buy,0.5,gbpusdc,1.24352,0.0,1.24377,2024-04-16 10:18,1.24378,-2.5,0.0,0.0,13.0
195,78287008,2024-04-16 10:30,buy,0.5,gbpusdc,1.24441,0.0,1.24466,2024-04-16 11:35,1.2447,-2.5,0.0,0.0,14.5
196,78287008,2024-04-16 10:30,buy,0.5,gbpusdc,1.24441,0.0,1.24466,2024-04-16 11:35,1.2447,-2.5,0.0,0.0,14.5
197,78287218,2024-04-16 11:45,buy,0.5,gbpusdc,1.24427,0.0,1.24452,2024-04-16 12:07,1.24452,-2.5,0.0,0.0,12.5
198,78287218,2024-04-16 11:45,buy,0.5,gbpusdc,1.24427,0.0,1.24452,2024-04-16 12:07,1.24452,-2.5,0.0,0.0,12.5
199,78287290,2024-04-16 12:15,buy,0.5,gbpusdc,1.24512,0.0,1.24537,2024-04-16 12:16,1.24539,-2.5,0.0,0.0,13.5
200,78287290,2024-04-16 12:15,buy,0.5,gbpusdc,1.24512,0.0,1.24537,2024-04-16 12:16,1.24539,-2.5,0.0,0.0,13.5
201,78287369,2024-04-16 12:30,buy,0.5,gbpusdc,1.24444,0.0,1.24469,2024-04-16 12:47,1.24469,-2.5,0.0,0.0,12.5
202,78287369,2024-04-16 12:30,buy,0.5,gbpusdc,1.24444,0.0,1.24469,2024-04-16 12:47,1.24469,-2.5,0.0,0.0,12.5
203,78287451,2024-04-16 13:00,buy,0.5,gbpusdc,1.24523,0.0,1.24548,2024-04-16 13:08,1.24548,-2.5,0.0,0.0,12.5
204,78287451,2024-04-16 13:00,buy,0.5,gbpusdc,1.24523,0.0,1.24548,2024-04-16 13:08,1.24548,-2.5,0.0,0.0,12.5
205,78287496,2024-04-16 13:15,buy,0.5,gbpusdc,1.24508,0.0,1.24533,2024-04-16 14:50,1.24533,-2.5,0.0,0.0,12.5
206,78287496,2024-04-16 13:15,buy,0.5,gbpusdc,1.24508,0.0,1.24533,2024-04-16 14:50,1.24533,-2.5,0.0,0.0,12.5
207,78287753,2024-04-16 15:00,sell,0.5,gbpusdc,1.24579,0.0,1.24554,2024-04-16 15:02,1.24554,-2.5,0.0,0.0,12.5
208,78287753,2024-04-16 15:00,sell,0.5,gbpusdc,1.24579,0.0,1.24554,2024-04-16 15:02,1.24554,-2.5,0.0,0.0,12.5
209,78287815,2024-04-16 15:15,sell,0.5,gbpusdc,1.24551,0.0,1.24526,2024-04-16 15:23,1.24524,-2.5,0.0,0.0,13.5
210,78287815,2024-04-16 15:15,sell,0.5,gbpusdc,1.24551,0.0,1.24526,2024-04-16 15:23,1.24524,-2.5,0.0,0.0,13.5
211,78287877,2024-04-16 15:30,sell,0.5,gbpusdc,1.24534,0.0,1.24509,2024-04-16 16:55,1.24507,-2.5,0.0,0.0,13.5
212,78287877,2024-04-16 15:30,sell,0.5,gbpusdc,1.24534,0.0,1.24509,2024-04-16 16:55,1.24507,-2.5,0.0,0.0,13.5
213,78290038,2024-04-16 17:00,sell,0.5,gbpusdc,1.24486,0.0,1.24461,2024-04-16 17:30,1.24461,-2.5,0.0,0.0,12.5
214,78290038,2024-04-16 17:00,sell,0.5,gbpusdc,1.24486,0.0,1.24461,2024-04-16 17:30,1.24461,-2.5,0.0,0.0,12.5
215,78290694,2024-04-16 18:00,sell,0.5,gbpusdc,1.24417,0.0,1.24392,2024-04-16 18:14,1.24421,-2.5,0.0,0.0,-2.0
216,78290694,2024-04-16 18:00,sell,0.5,gbpusdc,1.24417,0.0,1.24392,2024-04-16 18:14,1.24421,-2.5,0.0,0.0,-2.0
